,student_id,gender,age,education_level,institution_type,it_student,student_location,load_shedding,financial_condition,internet_type,class_duration,self_lms,device,adaptability_level
0,1,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Tab,Moderate
1,2,Girl,21-25,University,Non Government,No,Yes,High,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
2,3,Girl,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
3,4,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
4,5,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,0,No,Mobile,Low
5,6,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
6,7,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,0,No,Mobile,Low
7,8,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
8,9,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
9,10,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
10,11,Girl,16-20,University,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
11,12,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
12,13,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
13,14,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
14,15,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
15,16,Boy,11-15,School,Non Government,No,Yes,High,Poor,Wifi,1-3,No,Mobile,Low
16,17,Girl,26-30,University,Government,Yes,Yes,Low,Poor,Mobile Data,0,No,Computer,Low
17,18,Girl,21-25,University,Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
18,19,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
19,20,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,3-6,No,Mobile,Moderate
20,21,Girl,6-10,School,Non Government,No,Yes,Low,Rich,Wifi,1-3,No,Mobile,High
21,22,Boy,6-10,School,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
22,23,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,3-6,Yes,Mobile,Low
23,24,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
24,25,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,3-6,No,Mobile,Moderate
25,26,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
26,27,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
27,28,Boy,26-30,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,No,Computer,Moderate
28,29,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
29,30,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,3-6,No,Mobile,Moderate
30,31,Girl,6-10,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
31,32,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,Low
32,33,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
33,34,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
34,35,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
35,36,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Mobile,Moderate
36,37,Girl,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
37,38,Girl,6-10,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,High
38,39,Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,1-3,No,Mobile,Low
39,40,Girl,11-15,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
40,41,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
41,42,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
42,43,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,0,No,Mobile,Low
43,44,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
